ActualPower;Max Capacity;Location 2;Location 4;Location 6;Location 8
6.334;42.0;8.048;7.936;8.342;7.51
4.636;42.0;7.922;7.977;8.209;7.329
4.248;42.0;7.877;8.04;8.151;7.272
4.861;42.0;7.96;8.158;8.205;7.345
4.196;42.0;8.165;8.353;8.348;7.496
4.601;42.0;8.39;8.556;8.486;7.641
4.827;42.0;8.518;8.655;8.526;7.707
2.8;42.0;8.461;8.565;8.415;7.66
2.955;42.0;8.293;8.379;8.237;7.537
2.859;42.0;8.095;8.165;8.043;7.405
2.171;42.0;7.887;7.931;7.876;7.347
1.538;42.0;7.697;7.734;7.737;7.307
1.534;42.0;7.619;7.679;7.665;7.237
1.257;42.0;7.64;7.711;7.661;7.233
0.957;42.0;7.684;7.773;7.683;7.251
0.82;42.0;7.754;7.858;7.728;7.278
0.741;42.0;7.83;7.933;7.78;7.323
1.125;42.0;7.916;8.008;7.852;7.387
0.97;42.0;8.006;8.08;7.939;7.481
0.92;42.0;8.135;8.199;8.08;7.625
0.808;42.0;8.318;8.389;8.266;7.784
0.732;42.0;8.538;8.608;8.446;7.904
1.488;43.5;8.764;8.813;8.609;8.027
0.735;43.5;8.92;8.943;8.726;8.175
0.435;43.5;9.023;9.035;8.821;8.353
0.347;43.5;9.117;9.127;8.914;8.52
0.172;43.5;9.217;9.221;9.004;8.619
0.062;43.5;9.234;9.239;9.027;8.6
0.061;43.5;9.203;9.206;8.996;8.527
0.022;43.5;9.205;9.209;9.012;8.528
0.1;43.5;1.184;1.628;1.029;0.761
0.321;43.5;1.371;1.562;1.154;0.971
0.544;43.5;1.671;1.609;1.38;1.253
0.59;43.5;2.119;1.886;1.765;1.633
0.696;43.5;2.655;2.346;2.264;2.088
1.04;43.5;3.247;2.907;2.836;0.0
1.095;43.5;3.874;3.456;3.442;3.208
1.214;43.5;4.497;3.901;4.039;3.852
1.267;43.5;5.047;4.22;4.568;4.475
1.056;43.5;5.56;4.519;5.024;5.009
1.229;43.5;6.078;4.903;5.449;5.43
1.463;43.5;6.546;5.35;5.874;5.733
1.629;43.5;6.891;5.782;6.255;5.917
1.822;43.5;7.065;6.136;6.526;6.018
2.135;43.5;7.102;6.454;6.673;6.062
3.598;43.5;7.073;6.755;6.628;5.922
6.498;43.5;7.19;7.172;6.674;5.737
8.074;43.5;7.373;7.552;6.848;5.675
7.707;43.5;7.543;7.871;7.024;5.685
8.317;43.5;7.715;8.171;7.159;5.683
9.275;43.5;7.905;8.423;7.295;5.715
8.764;43.5;8.142;8.692;7.478;5.782
10.054;43.5;8.392;8.947;7.671;5.843
11.728;43.5;8.602;9.149;7.82;5.863
11.464;43.5;8.77;9.3;7.911;5.831
11.375;43.1132911392405;8.886;9.412;7.936;5.746
11.757;43.5;8.948;9.485;7.897;5.638
11.43;43.5;8.924;9.477;7.774;5.507
10.878;43.5;8.845;9.415;7.618;5.403
11.84;43.5;8.706;9.294;7.447;5.309
14.938;43.5;8.49;9.075;7.247;5.24
18.17;43.5;8.269;8.839;7.074;5.201
17.55;43.5;8.08;8.645;6.968;5.206
19.436;43.5;7.972;8.526;6.975;5.329
20.101;42.0;7.959;8.534;7.076;5.504
22.335;43.5;8.035;8.554;7.188;5.651
25.948;43.5;8.242;8.652;7.44;5.828
28.959;43.5;8.454;8.811;7.691;5.921
29.316;43.5;8.542;8.844;7.767;5.902
28.11;43.5;8.607;8.832;7.776;5.871
29.486;43.5;8.674;8.84;7.774;5.847
31.181;43.5;8.742;8.865;7.774;5.837
28.759;43.5;8.817;8.906;7.792;5.859
29.859;43.5;8.91;8.982;7.853;5.936
31.394;43.5;8.999;9.082;7.961;6.068
32.672;43.5;9.087;9.197;8.11;6.245
30.117;43.5;9.157;9.299;8.265;6.429
31.405;43.5;9.198;9.367;8.388;6.582
28.918;43.5;9.244;9.427;8.489;6.69
28.561;43.5;9.287;9.482;8.564;6.756
31.022;43.5;9.315;9.531;8.621;6.801
29.603;43.5;9.292;9.535;8.635;6.805
26.704;43.5;9.201;9.468;8.574;6.746
26.128;43.5;9.081;9.351;8.456;6.633
27.136;43.5;8.946;9.198;8.284;6.453
28.724;43.5;8.838;9.051;8.087;6.226
28.44;43.5;8.82;8.943;7.914;5.97
28.903;43.5;8.968;9.01;7.824;5.719
26.96;43.5;9.173;9.286;7.734;5.512
24.477;43.5;9.315;9.341;7.638;5.39
25.197;43.5;9.447;9.327;7.603;5.325
24.974;43.5;9.623;9.431;7.658;5.317
29.65;43.5;9.917;9.682;7.913;5.411
33.242;43.5;10.305;10.096;8.363;5.608
33.812;43.5;10.66;10.547;8.882;5.882
31.41;43.5;10.818;10.834;9.232;6.088
31.641;43.5;10.714;10.844;9.248;6.128
32.025;43.5;10.429;10.626;8.995;6.072
33.212;43.5;10.057;10.284;8.631;6.057
35.212;43.5;9.681;9.941;8.316;6.159
35.532;43.5;9.316;9.63;8.091;6.288
35.778;43.5;8.992;8.861;6.991;4.479
36.331;43.5;8.582;8.465;6.477;4.27
35.924;43.5;8.025;7.917;5.944;4.235
33.581;43.5;7.319;7.23;5.436;4.349
34.246;43.5;6.588;6.51;5.073;4.606
34.329;43.5;5.974;5.916;4.902;4.905
34.323;43.5;5.563;5.511;4.862;5.152
33.568;43.5;5.324;5.289;4.879;5.298
33.148;43.5;5.226;5.244;4.91;5.319
32.663;43.5;5.225;5.293;4.962;5.24
33.039;43.5;5.288;5.392;5.013;5.109
30.846;43.5;5.419;5.511;5.037;4.958
27.63;43.5;5.644;5.716;5.061;4.836
26.432;43.5;6.042;6.137;5.157;4.75
27.282;43.5;6.573;6.747;7.19692380952381;4.716
28.285;43.5;7.268;7.558;5.693;4.856
24.898;43.5;8.045;8.475;6.226;5.056
